Time,Open,High,Low,Close
2015.04.06 04:00,119.034,119.167,119.019,119.12
2015.04.06 05:00,119.12,119.158,119.077,119.077
2015.04.06 06:00,119.077,119.115,118.964,118.971
2015.04.06 07:00,118.974,119.081,118.949,119.049
2015.04.06 08:00,119.05,119.07,118.979,119.033
2015.04.06 09:00,119.034,119.042,118.96,119.001
2015.04.06 10:00,119.001,119.028,118.956,118.991
2015.04.06 11:00,118.994,119.025,118.967,119.023
2015.04.06 12:00,119.022,119.11,119.02,119.096
2015.04.06 13:00,119.097,119.114,119.077,119.092
2015.04.06 14:00,119.092,119.093,118.984,119.079
2015.04.06 15:00,119.078,119.102,118.93,118.962
2015.04.06 16:00,118.963,119.035,118.917,118.984
2015.04.06 17:00,118.983,119.091,118.943,118.972
2015.04.06 18:00,118.974,119.066,118.932,119.055
2015.04.06 19:00,119.053,119.188,119.052,119.149
2015.04.06 20:00,119.152,119.263,119.142,119.247
2015.04.06 21:00,119.248,119.357,119.245,119.354
2015.04.06 22:00,119.354,119.676,119.352,119.481
2015.04.06 23:00,119.471,119.568,119.448,119.53
2015.04.07 01:00,119.49,119.527,119.437,119.512
2015.04.07 02:00,119.512,119.519,119.455,119.484
2015.04.07 03:00,119.485,119.622,119.449,119.575
2015.04.07 04:00,119.575,119.609,119.533,119.582
2015.04.07 05:00,119.591,119.596,119.539,119.582
2015.04.07 06:00,119.583,119.669,119.555,119.657
2015.04.07 07:00,119.657,119.658,119.539,119.579
2015.04.07 08:00,119.582,119.586,119.498,119.525
2015.04.07 09:00,119.526,119.621,119.526,119.613
2015.04.07 10:00,119.612,119.869,119.592,119.823
2015.04.07 11:00,119.826,120.064,119.802,119.952
2015.04.07 12:00,119.953,119.984,119.867,119.873
2015.04.07 13:00,119.874,119.92,119.855,119.892
2015.04.07 14:00,119.891,120.062,119.883,120.043
2015.04.07 15:00,120.042,120.28,120.021,120.212
2015.04.07 16:00,120.212,120.25,120.14,120.182
2015.04.07 17:00,120.184,120.341,120.143,120.315
2015.04.07 18:00,120.315,120.447,120.282,120.37
2015.04.07 19:00,120.37,120.37,120.263,120.286
2015.04.07 20:00,120.286,120.373,120.282,120.354
2015.04.07 21:00,120.352,120.431,120.333,120.378
2015.04.07 22:00,120.378,120.382,120.298,120.313
2015.04.07 23:00,120.313,120.379,120.225,120.28
2015.04.08 01:00,120.301,120.346,120.238,120.248
2015.04.08 02:00,120.25,120.34,120.247,120.279
2015.04.08 03:00,120.279,120.314,120.166,120.223
2015.04.08 04:00,120.222,120.243,120.147,120.188
2015.04.08 05:00,120.189,120.203,120.086,120.128
2015.04.08 06:00,120.124,120.248,119.919,120.094
2015.04.08 07:00,120.096,120.153,119.699,119.784
2015.04.08 08:00,119.785,119.867,119.757,119.842
2015.04.08 09:00,119.841,119.96,119.822,119.823
2015.04.08 10:00,119.822,119.885,119.696,119.861
2015.04.08 11:00,119.861,119.993,119.849,119.874
2015.04.08 12:00,119.873,119.881,119.758,119.817
2015.04.08 13:00,119.812,119.822,119.68,119.704
2015.04.08 14:00,119.703,119.882,119.661,119.837
2015.04.08 15:00,119.837,119.888,119.64,119.707
2015.04.08 16:00,119.708,119.865,119.691,119.807
2015.04.08 17:00,119.808,120.069,119.805,119.966
2015.04.08 18:00,119.966,119.986,119.875,119.955
2015.04.08 19:00,119.955,120.001,119.919,119.933
2015.04.08 20:00,119.934,119.958,119.829,119.83
2015.04.08 21:00,119.821,120.306,119.809,119.957
2015.04.08 22:00,119.961,120.114,119.949,120.072
2015.04.08 23:00,120.073,120.161,120.069,120.13
2015.04.09 01:00,120.159,120.164,120.108,120.157
2015.04.09 02:00,120.157,120.16,120.071,120.101
2015.04.09 03:00,120.102,120.374,120.098,120.3
2015.04.09 04:00,120.301,120.343,120.223,120.314
2015.04.09 05:00,120.315,120.383,120.278,120.324
2015.04.09 06:00,120.323,120.342,120.273,120.303
2015.04.09 07:00,120.305,120.328,120.226,120.254
2015.04.09 08:00,120.255,120.329,120.181,120.296
2015.04.09 09:00,120.293,120.315,120.153,120.174
2015.04.09 10:00,120.175,120.304,120.163,120.271
2015.04.09 11:00,120.271,120.329,120.22,120.233
2015.04.09 12:00,120.233,120.244,120.046,120.063
2015.04.09 13:00,120.066,120.099,119.932,119.969
2015.04.09 14:00,119.967,120.029,119.913,119.915
2015.04.09 15:00,119.918,120.09,119.856,120.063
2015.04.09 16:00,120.062,120.246,119.966,120.172
2015.04.09 17:00,120.174,120.365,120.154,120.338
2015.04.09 18:00,120.337,120.414,120.264,120.321
2015.04.09 19:00,120.321,120.424,120.293,120.392
2015.04.09 20:00,120.391,120.583,120.381,120.581
2015.04.09 21:00,120.58,120.684,120.571,120.679
2015.04.09 22:00,120.678,120.736,120.635,120.652
2015.04.09 23:00,120.651,120.664,120.531,120.572
2015.04.10 01:00,120.561,120.585,120.524,120.532
2015.04.10 02:00,120.533,120.593,120.526,120.555
2015.04.10 03:00,120.556,120.624,120.438,120.485
2015.04.10 04:00,120.484,120.619,120.442,120.542
2015.04.10 05:00,120.542,120.588,120.483,120.556
2015.04.10 06:00,120.555,120.573,120.518,120.542
2015.04.10 07:00,120.542,120.545,120.489,120.515
2015.04.10 08:00,120.515,120.527,120.454,120.502
2015.04.10 09:00,120.502,120.544,120.45,120.542
2015.04.10 10:00,120.541,120.604,120.444,120.501
2015.04.10 11:00,120.502,120.511,120.213,120.273
2015.04.10 12:00,120.274,120.359,120.215,120.287
2015.04.10 13:00,120.288,120.302,120.219,120.294
2015.04.10 14:00,120.293,120.463,120.278,120.434
2015.04.10 15:00,120.433,120.474,120.244,120.247
2015.04.10 16:00,120.246,120.313,120.052,120.129
2015.04.10 17:00,120.128,120.228,120.056,120.196
2015.04.10 18:00,120.193,120.295,120.193,120.291
2015.04.10 19:00,120.291,120.294,120.187,120.226
2015.04.10 20:00,120.227,120.261,120.137,120.148
2015.04.10 21:00,120.149,120.245,120.149,120.185
2015.04.10 22:00,120.185,120.216,120.126,120.181
2015.04.10 23:00,120.182,120.323,120.146,120.197
2015.04.13 01:00,120.258,120.328,120.203,120.216
2015.04.13 02:00,120.216,120.231,120.179,120.197
2015.04.13 03:00,120.2,120.224,120.092,120.191
2015.04.13 04:00,120.191,120.257,120.152,120.209
2015.04.13 05:00,120.208,120.365,120.189,120.33
2015.04.13 06:00,120.331,120.422,120.315,120.422
2015.04.13 07:00,120.422,120.5,120.385,120.494
2015.04.13 08:00,120.493,120.496,120.383,120.399
2015.04.13 09:00,120.398,120.413,120.335,120.366
2015.04.13 10:00,120.37,120.648,120.331,120.634
2015.04.13 11:00,120.633,120.817,120.618,120.782
2015.04.13 12:00,120.783,120.842,120.748,120.76
2015.04.13 13:00,120.761,120.77,120.622,120.677
2015.04.13 14:00,120.677,120.742,120.528,120.548
2015.04.13 15:00,120.55,120.572,119.701,120.143
2015.04.13 16:00,120.142,120.195,119.919,120.147
2015.04.13 17:00,120.148,120.366,120.125,120.338
2015.04.13 18:00,120.336,120.429,120.296,120.322
2015.04.13 19:00,120.321,120.327,120.219,120.231
2015.04.13 20:00,120.232,120.235,120.087,120.135
2015.04.13 21:00,120.136,120.147,120.022,120.058
2015.04.13 22:00,120.06,120.115,120.019,120.05
2015.04.13 23:00,120.049,120.174,120.047,120.142
2015.04.14 01:00,120.12,120.172,120.076,120.076
2015.04.14 02:00,120.077,120.102,120.039,120.046
2015.04.14 03:00,120.047,120.069,119.79,119.834
2015.04.14 04:00,119.834,119.974,119.829,119.889
2015.04.14 05:00,119.888,119.906,119.739,119.854
2015.04.14 06:00,119.854,119.904,119.819,119.875
2015.04.14 07:00,119.874,119.967,119.815,119.923
2015.04.14 08:00,119.92,119.935,119.659,119.764
2015.04.14 09:00,119.765,119.839,119.625,119.756
2015.04.14 10:00,119.757,119.878,119.71,119.861
2015.04.14 11:00,119.861,119.907,119.71,119.748
2015.04.14 12:00,119.752,119.798,119.548,119.617
2015.04.14 13:00,119.618,119.7,119.614,119.644
2015.04.14 14:00,119.645,120.116,119.613,119.875
2015.04.14 15:00,119.874,119.971,119.468,119.602
2015.04.14 16:00,119.602,119.602,119.309,119.32
2015.04.14 17:00,119.32,119.386,119.114,119.142
2015.04.14 18:00,119.141,119.328,119.07,119.27
2015.04.14 19:00,119.269,119.402,119.269,119.336
2015.04.14 20:00,119.337,119.36,119.274,119.284
2015.04.14 21:00,119.283,119.403,119.279,119.355
2015.04.14 22:00,119.355,119.451,119.354,119.435
2015.04.14 23:00,119.434,119.483,119.387,119.388
2015.04.15 01:00,119.362,119.409,119.358,119.392
2015.04.15 02:00,119.388,119.479,119.362,119.449
2015.04.15 03:00,119.45,119.622,119.448,119.6
2015.04.15 04:00,119.6,119.673,119.565,119.634
2015.04.15 05:00,119.633,119.706,119.544,119.626
2015.04.15 06:00,119.626,119.722,119.587,119.715
2015.04.15 07:00,119.715,119.745,119.611,119.612
2015.04.15 08:00,119.612,119.713,119.61,119.632
2015.04.15 09:00,119.631,119.659,119.529,119.564
2015.04.15 10:00,119.564,119.677,119.462,119.502
2015.04.15 11:00,119.504,119.603,119.462,119.542
2015.04.15 12:00,119.543,119.557,119.37,119.398
2015.04.15 13:00,119.398,119.477,119.341,119.469
2015.04.15 14:00,119.47,119.569,119.439,119.548
2015.04.15 15:00,119.547,119.633,119.387,119.462
2015.04.15 16:00,119.463,119.529,119.231,119.394
2015.04.15 17:00,119.393,119.402,119.269,119.301
2015.04.15 18:00,119.302,119.344,119.131,119.23
2015.04.15 19:00,119.231,119.26,119.107,119.112
2015.04.15 20:00,119.113,119.117,118.816,118.91
2015.04.15 21:00,118.912,118.966,118.785,118.887
2015.04.15 22:00,118.886,119.18,118.885,119.132
2015.04.15 23:00,119.132,119.23,119.125,119.14
2015.04.16 01:00,119.111,119.177,119.072,119.159
2015.04.16 02:00,119.159,119.19,119.133,119.141
2015.04.16 03:00,119.142,119.147,118.895,118.973
2015.04.16 04:00,118.974,119.04,118.792,118.941
2015.04.16 05:00,118.94,119.148,118.908,119.143
2015.04.16 06:00,119.143,119.145,119.028,119.119
2015.04.16 07:00,119.122,119.325,119.118,119.286
2015.04.16 08:00,119.285,119.406,119.28,119.355
2015.04.16 09:00,119.354,119.435,119.263,119.344
2015.04.16 10:00,119.345,119.47,119.278,119.298
2015.04.16 11:00,119.297,119.355,119.249,119.278
2015.04.16 12:00,119.277,119.295,119.184,119.187
2015.04.16 13:00,119.188,119.254,118.915,118.987
2015.04.16 14:00,118.988,119.075,118.955,119.074
2015.04.16 15:00,119.073,119.216,118.974,119.083
2015.04.16 16:00,119.083,119.137,119.019,119.083
2015.04.16 17:00,119.083,119.433,119.083,119.321
2015.04.16 18:00,119.321,119.333,119.139,119.176
2015.04.16 19:00,119.176,119.304,119.147,119.255
2015.04.16 20:00,119.254,119.255,118.95,118.955
2015.04.16 21:00,118.954,119.024,118.835,118.847
2015.04.16 22:00,118.846,119.116,118.818,119.039
2015.04.16 23:00,119.038,119.115,118.937,118.989
2015.04.17 01:00,118.995,119.074,118.965,119.024
2015.04.17 02:00,119.025,119.082,118.968,119.059
2015.04.17 03:00,119.06,119.061,118.886,118.972
2015.04.17 04:00,118.971,119.095,118.947,119.07
2015.04.17 05:00,119.07,119.135,119.004,119.031
2015.04.17 06:00,119.03,119.061,118.929,118.988
2015.04.17 07:00,118.989,119.044,118.967,118.972
2015.04.17 08:00,118.976,119.029,118.956,118.996
2015.04.17 09:00,118.997,119.066,118.893,118.954
2015.04.17 10:00,118.955,118.967,118.723,118.814
2015.04.17 11:00,118.815,118.929,118.771,118.864
2015.04.17 12:00,118.865,118.916,118.672,118.705
2015.04.17 13:00,118.704,118.715,118.568,118.667
2015.04.17 14:00,118.666,118.773,118.645,118.712
2015.04.17 15:00,118.712,119.263,118.632,119.183
2015.04.17 16:00,119.183,119.245,118.956,119.032
2015.04.17 17:00,119.028,119.14,118.915,119.06
2015.04.17 18:00,119.061,119.079,118.97,119.022
2015.04.17 19:00,119.021,119.055,118.932,118.945
2015.04.17 20:00,118.945,118.945,118.844,118.861
2015.04.17 21:00,118.86,118.869,118.734,118.772
2015.04.17 22:00,118.774,118.836,118.742,118.801
2015.04.17 23:00,118.802,118.946,118.787,118.912
2015.04.20 01:00,118.932,118.954,118.829,118.946
2015.04.20 02:00,118.947,118.986,118.798,118.841
2015.04.20 03:00,118.842,118.962,118.76,118.961
2015.04.20 04:00,118.96,118.978,118.889,118.955
2015.04.20 05:00,118.954,118.981,118.858,118.872
2015.04.20 06:00,118.877,118.908,118.837,118.904
2015.04.20 07:00,118.903,118.913,118.772,118.803
2015.04.20 08:00,118.801,118.801,118.588,118.633
2015.04.20 09:00,118.632,118.703,118.528,118.564
2015.04.20 10:00,118.56,118.736,118.55,118.707
2015.04.20 11:00,118.706,118.843,118.669,118.801
2015.04.20 12:00,118.801,118.909,118.789,118.87
2015.04.20 13:00,118.869,119.079,118.826,119.066
2015.04.20 14:00,119.066,119.134,118.998,119.04
